Dataset using: ../Dataset/input.pkl
start training model with fold  0
Train Epoch:99  |Loss: 0.390 | Train Acc: 0.892
Eval Epoch: 99 | Loss: 1.067 | Eval Acc: 0.600
Test Epoch: 99 | Loss: 1.138 | Test Acc: 0.575
The best validation accuracy is 0.675.
Test Acc: 0.500   | Test F1: 0.470   | Test AUC: 0.592   | Test MCC: 0.177
start training model with fold  1
Train Epoch:0  |Loss: 1.139 | Train Acc: 0.375
Eval Epoch: 0 | Loss: 1.047 | Eval Acc: 0.475
Test Epoch: 0 | Loss: 1.047 | Test Acc: 0.475
saving best....
Train Epoch:1  |Loss: 1.041 | Train Acc: 0.442
Eval Epoch: 1 | Loss: 1.030 | Eval Acc: 0.425
Test Epoch: 1 | Loss: 1.030 | Test Acc: 0.425
Train Epoch:2  |Loss: 1.045 | Train Acc: 0.442
Eval Epoch: 2 | Loss: 1.025 | Eval Acc: 0.425
Test Epoch: 2 | Loss: 1.025 | Test Acc: 0.425
Train Epoch:3  |Loss: 1.044 | Train Acc: 0.400
Eval Epoch: 3 | Loss: 1.021 | Eval Acc: 0.400
Test Epoch: 3 | Loss: 1.021 | Test Acc: 0.400
Train Epoch:4  |Loss: 1.034 | Train Acc: 0.417
Eval Epoch: 4 | Loss: 1.026 | Eval Acc: 0.475
Test Epoch: 4 | Loss: 1.026 | Test Acc: 0.475
Train Epoch:5  |Loss: 1.030 | Train Acc: 0.450
Eval Epoch: 5 | Loss: 1.030 | Eval Acc: 0.475
Test Epoch: 5 | Loss: 1.030 | Test Acc: 0.475
Train Epoch:6  |Loss: 1.030 | Train Acc: 0.450
Eval Epoch: 6 | Loss: 1.029 | Eval Acc: 0.475
Test Epoch: 6 | Loss: 1.029 | Test Acc: 0.475
Train Epoch:7  |Loss: 1.025 | Train Acc: 0.442
Eval Epoch: 7 | Loss: 1.023 | Eval Acc: 0.500
Test Epoch: 7 | Loss: 1.023 | Test Acc: 0.500
saving best....
Train Epoch:8  |Loss: 1.022 | Train Acc: 0.450
Eval Epoch: 8 | Loss: 1.027 | Eval Acc: 0.525
Test Epoch: 8 | Loss: 1.027 | Test Acc: 0.525
saving best....
Train Epoch:9  |Loss: 1.019 | Train Acc: 0.467
Eval Epoch: 9 | Loss: 1.026 | Eval Acc: 0.525
Test Epoch: 9 | Loss: 1.026 | Test Acc: 0.525
Train Epoch:10  |Loss: 1.015 | Train Acc: 0.508
Eval Epoch: 10 | Loss: 1.021 | Eval Acc: 0.525
