Dataset using: ../Dataset/ablation_test.pkl
(200, 2)
start training model with fold  0
Eval Epoch: 128 | Loss: 0.765 | Eval Acc: 0.575
Test Epoch: 128 | Loss: 0.990 | Test Acc: 0.425
Train Epoch:129  |Loss: 0.642 | Train Acc: 0.733
Eval Epoch: 129 | Loss: 0.777 | Eval Acc: 0.625
Test Epoch: 129 | Loss: 1.001 | Test Acc: 0.475
Train Epoch:130  |Loss: 0.648 | Train Acc: 0.750
Eval Epoch: 130 | Loss: 0.758 | Eval Acc: 0.550
Test Epoch: 130 | Loss: 0.980 | Test Acc: 0.450
saving last....
Train Epoch:131  |Loss: 0.642 | Train Acc: 0.750
Eval Epoch: 131 | Loss: 0.764 | Eval Acc: 0.625
Test Epoch: 131 | Loss: 0.991 | Test Acc: 0.475
Train Epoch:132  |Loss: 0.638 | Train Acc: 0.758
Eval Epoch: 132 | Loss: 0.758 | Eval Acc: 0.575
Test Epoch: 132 | Loss: 0.992 | Test Acc: 0.425
Train Epoch:133  |Loss: 0.640 | Train Acc: 0.767
Eval Epoch: 133 | Loss: 0.756 | Eval Acc: 0.600
Test Epoch: 133 | Loss: 0.985 | Test Acc: 0.500
Train Epoch:134  |Loss: 0.629 | Train Acc: 0.758
Eval Epoch: 134 | Loss: 0.757 | Eval Acc: 0.575
Test Epoch: 134 | Loss: 0.993 | Test Acc: 0.450
Train Epoch:135  |Loss: 0.630 | Train Acc: 0.758
Eval Epoch: 135 | Loss: 0.766 | Eval Acc: 0.625
Test Epoch: 135 | Loss: 1.005 | Test Acc: 0.475
Train Epoch:136  |Loss: 0.632 | Train Acc: 0.725
Eval Epoch: 136 | Loss: 0.755 | Eval Acc: 0.625
Test Epoch: 136 | Loss: 0.993 | Test Acc: 0.475
Train Epoch:137  |Loss: 0.638 | Train Acc: 0.750
Eval Epoch: 137 | Loss: 0.749 | Eval Acc: 0.600
Test Epoch: 137 | Loss: 0.990 | Test Acc: 0.375
Train Epoch:138  |Loss: 0.628 | Train Acc: 0.717
Eval Epoch: 138 | Loss: 0.774 | Eval Acc: 0.625
Test Epoch: 138 | Loss: 1.022 | Test Acc: 0.550
Train Epoch:139  |Loss: 0.618 | Train Acc: 0.750
Eval Epoch: 139 | Loss: 0.747 | Eval Acc: 0.575
Test Epoch: 139 | Loss: 0.990 | Test Acc: 0.450
Train Epoch:140  |Loss: 0.618 | Train Acc: 0.758
Eval Epoch: 140 | Loss: 0.746 | Eval Acc: 0.600
Test Epoch: 140 | Loss: 0.989 | Test Acc: 0.475
saving last....
Train Epoch:141  |Loss: 0.615 | Train Acc: 0.750
